B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
395,306,483,1,-1887.185439,52.97336175,61.47443683,2.341045987,2.420676741,-1887.407741,-1887.314425,49.4831254,49.4831254,58.55684873
395,306,485,0,-1909.185516,46.83565875,58.10502538,2.038928291,2.411339963,-1909.422487,-1909.333127,43.16249837,43.16249837,56.07400854
395,308,487,11,-1177.207908,18.115925,40.7816768,2.677875571,2.493343127,-1177.399472,-1177.336039,17.23809562,17.23809562,39.80522362
395,324,487,1,-1118.25555,13.7511605,39.35779145,2.680659419,2.412722954,-1118.419455,-1118.361737,15.11399699,15.11399699,36.21838276
395,331,487,0,-1173.603917,13.8415205,42.80582238,2.430137464,2.421500408,-1173.777792,-1173.714723,16.13607068,16.13607068,39.57653888
395,333,618,0,-2787.466404,52.6370845,67.41615902,2.02480881,2.424178955,-2787.71402,-2787.612263,51.73457869,51.73457869,63.85362584
395,377,479,12,-2051.825548,45.43570625,55.57592427,2.155462368,2.481334386,-2052.089427,-2052.00779,44.10938879,44.10938879,51.22757011
395,377,485,11,-1898.222596,46.20163275,57.40910278,2.124105248,2.464956877,-1898.45008,-1898.365326,44.42721301,44.42721301,53.18417442
396,254,488,1,-1911.643686,0.35886725,30.2710016,2.318901863,2.184646912,-1911.822096,-1911.78141,1.912204231,1.912204231,25.53069762
396,302,488,10,-1927.666782,8.46629275,29.93661312,2.243966705,2.170432512,-1927.843035,-1927.803262,9.593665328,9.593665328,24.95763831
396,306,526,10,-1448.704435,-0.305216,8.7275963,2.540677934,2.335073396,-1448.844914,-1448.835081,1.545564475,1.545564475,6.170527681
396,333,483,1,-2089.418878,42.3654115,57.93790957,1.937449815,2.373353835,-2089.6484,-2089.559654,42.21637891,42.21637891,55.68903696
396,333,488,0,-2035.96783,16.028358,24.53117125,2.126707287,2.12533426,-2036.152752,-2036.120247,18.07502481,18.07502481,20.39759038
