Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
CN1[C]N2C=CSC2=C1,199,2,-739.859302503,-739.778840503,0.0,,1,-739.8280483397873
CN1[C]c2ccccc2N1C,200,2,-458.368543822,-458.228260822,0.0,,1,-458.3069749070054
CN1[C]N2C=CC=CC2=C1c1ccccc1,201,2,-650.123945909,-649.934898909,0.0,,1,-650.0595805595424
CN1[C]N2C=CC=CC2=C1,202,2,-419.087142105,-418.973290105,0.0,,1,-419.04448331611667
CN1c2ccccc2[C]N1c1ccccc1,203,8,-650.085100445,-649.897266445,0.0,,1,-650.0223553178553
[C]1N2CCOCC2=NN1c1ccccc1,204,0,-665.174525659,-665.0027126589999,0.0,,1,-665.1019039392768
[C]1N2CCCC2=NN1c1ccccc1,205,0,-589.965790844,-589.798252844,0.0,,1,-589.8958554987354
CN1[C]SC2CCCCC21,206,2,-765.579588166,-765.411605166,0.0,,0,-765.4616509890559
CN1[C]Oc2ccccc21,207,2,-438.959206547,-438.857302547,0.0,,2,-438.926949948574
CN1[C]Sc2ccccc21,208,2,-761.943613596,-761.845268596,0.0,,1,-761.9115103451237
CN1[C]SC=C1,209,2,-608.306974694,-608.252949694,0.0,,0,-608.2803946567474
CN1[C]C(C)(C)CC1,210,2,-329.257859894,-329.100567894,0.0,,0,-329.14416924083264
CN1C(=O)N(c2ccccc2)[C]N1c1ccccc1,211,11,-818.806120144,-818.595964144,0.0,,1,-818.7316814145274
CC1=NN(c2ccccc2)[C]N1c1ccccc1,212,10,-743.583574631,-743.376905631,1.0,,1,-743.5128389085411
CC1=NN(C)[C]N1C,213,5,-360.150361,-360.039247,0.0,,1,-360.0846361005411
CC1=C(C)N(C)N(C)[C]1,214,8,-383.373636433,-383.226542433,0.0,,0,-383.2796279864927
CN1[C]N(C)[C@H]2CC[C@@H]1C2,215,2,-422.728029025,-422.545902025,0.0,,0,-422.6023691888837
CNC1=NN(C)[C]N1C,216,6,-415.50030104,-415.37376704,0.0,,0,-415.41954462394796
CN1[C]N(C)N(C)C1=O,217,2,-435.375970906,-435.261297906,0.0,,1,-435.3053263225625
CNN1[C]N(C)N=C1OC,218,3,-490.667890764,-490.538253764,0.0,,0,-490.58599097662363
CN1C=C[C]N1c1ccccc1,219,4,-496.453349836,-496.309711836,0.0,,0,-496.3954876340284
CN1[C]SCC1,220,2,-609.524609109,-609.4481791090001,0.0,,0,-609.4737273698105
CN1[C]N(C)c2cccc3cccc1c23,221,2,-612.045133521,-611.858861521,0.0,,1,-611.9789140587905
CN1[C]N(C)c2ncn(C)c2C1=O,222,2,-605.060827707,-604.9139767070001,0.0,,1,-604.9936125077604
CN1[C]c2ccccc2C=C1,223,2,-441.140060751,-441.009248751,0.0,,1,-441.0954867418944
CC1[C-]=[N+](C)C(C)N1C,224,2,,,,DFT Error,1,
COc1[c-]c(OC)[n+](C)n1C,225,3,-533.77828846,-533.62398146,0.0,,0,-533.6795961103401
Cc1[c-][n+](C)c(-c2ccccc2)s1,226,2,-878.635933986,-878.481895986,0.0,,1,-878.5711081345896
Cc1[c-][n+](C)c(C)o1,227,2,-363.943770924,-363.834992924,0.0,,1,-363.8776738157087
Cc1[c-][n+](C)c(-c2ccccc2)o1,228,2,-555.658653705,-555.500660705,0.0,,1,-555.5913145057092
Cc1[c-][n+](C)c(C)n1C,229,2,-383.401221007,-383.253538007,0.0,,1,-383.30473565818244
Cc1[c-][n+](C)c(C)s1,230,2,-686.920834009,-686.816283009,0.0,,0,-686.8583516424021
Cc1sc(-c2ccccc2)[c-][n+]1C,231,10,-878.640569227,-878.488781227,0.0,,0,-878.5776444241471
Cn1n[n+](C)[c-]c1-c1ccccc1,232,5,-551.81077897,-551.6515799700001,0.0,,1,-551.7441585896735
Cc1[c-]n(C)n[n+]1C,233,2,-360.094526849,-359.985150849,0.0,,1,-360.0304780139546
CN(C)c1ccncc1,234,6,-382.236074332,-382.106963332,0.0,,2,-382.17038854260085
COC(=O)c1ccncc1,235,7,-476.136274717,-476.038212717,0.0,,1,-476.1014128731714
FC(F)(F)c1ccncc1,236,7,-585.319075621,-585.259341621,0.0,,2,-585.2885293851966
CC(C)(C)c1ccncc1,237,7,-405.522566306,-405.354390306,0.0,,2,-405.4243572842035
C#Cc1ccncc1,238,5,-324.396595629,-324.328964629,0.0,,1,-324.3919225592273
CC(=O)Nc1ccncc1,239,7,-456.285410422,-456.176473422,0.0,,2,-456.2371459267483
COc1ccncc1,240,5,-362.788588756,-362.697142756,0.0,,1,-362.7511902831822
N#Cc1ccncc1,241,5,-340.490676527,-340.43318752700003,0.0,,2,-340.4968900630199
Cc1cc(C)nc(C)c1,242,5,-366.221399707,-366.085635707,0.0,,2,-366.14980182556326
Fc1nc(F)c(F)c(F)c1F,243,2,-744.444362276,-744.429901276,0.0,,2,-744.4355309331222
CNC(=S)c1ccncc1,244,7,-779.238634806,-779.1312708060001,1.0,,0,-779.1952433908588
O=Cc1ccncc1,245,5,-361.581652281,-361.513760281,0.0,,0,-361.56976287230935
C=Cc1ccncc1,246,5,-325.656175076,-325.565582076,0.0,,2,-325.6275856432141
CNC(=O)c1ccncc1,247,7,-456.277338312,-456.167453312,0.0,,1,-456.2292506185567
Fc1ccncc1,248,4,-347.505662173,-347.453416173,0.0,,2,-347.4905761305649
CC(=O)Oc1ccncc1,249,7,-476.138763162,-476.042739162,0.0,,1,-476.10354983211175
COC(=N)c1ccncc1,250,7,-456.242557737,-456.132311737,1.0,,0,-456.1968175463019
