Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
Nc1nc(=O)c(Cl)c[nH]1,474,6,-854.5256151,-854.4689801,0,-394.2249528,-394.1705318,0,460.3006623,460.2984483,84.43784325,0
C=C(C)Cl,475,3,-577.5140687,-577.4704477,0,-117.2189262,-117.1787002,0,460.2951425,460.2917475,80.23309125,0
C=CC(=C)Cl,476,4,-615.5882893,-615.5406813,0,-155.3090658,-155.2656198,0,460.2792235,460.2750615,69.76262625,0
Clc1ccc(Cl)cc1,477,0,-1151.445186,-1151.395517,0,-691.1452,-691.097372,0,460.2999864,460.2981454,84.2477735,0
O=c1ccc(Cl)c[nH]1,478,5,-783.1126181,-783.0593741,0,-322.8111111,-322.7598131,0,460.301507,460.299561,85.1360625,0
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,479,3,-1454.285745,-1454.209703,0,-993.9900559,-993.9164459,0,460.2956894,460.2932574,81.1805535,0
O=c1[nH]c(Cl)c(Cl)c(=O)[nH]1,480,4,-1334.017778,-1333.984391,0,-873.6830145,-873.6522645,0,460.3347638,460.3321268,105.571102,0
FC(F)/C=C/Cl,481,5,-775.9960792,-775.9701802,0,-315.696842,-315.673845,0,460.2992372,460.2963352,83.111873,0
ClC(Cl)=C(c1ccccc1)c1ccccc1,482,0,-1459.862757,-1459.708768,0,-999.5776361,-999.4252111,1,460.2851208,460.2835568,75.093427,0
O=C1NC(=O)C(Cl)=C1Cl,483,6,-1278.630836,-1278.614964,0,-818.3246681,-818.3107051,0,460.3061678,460.3042588,88.083932,0
C/C=C(\Cl)c1ccccc1,484,3,-808.5473767,-808.4300827,0,-348.2632417,-348.1498427,0,460.284135,460.28024,73.012135,0
O=C1C=C(Cl)C(=O)C(Cl)=C1,485,4,-1300.641159,-1300.609672,0,-840.3444433,-840.3151943,0,460.2967154,460.2944774,81.9461035,0
ClC1=CC2CCC1C2,486,0,-732.334058,-732.220375,0,-272.0287744,-271.9168484,0,460.3052836,460.3035266,87.6244765,0
ClC=C1CC1,487,0,-615.565046,-615.517134,0,-155.2698173,-155.2245363,0,460.2952287,460.2925977,80.76659175,0
CN1CN(C)C(Cl)=C1Cl,488,6,-1225.207364,-1225.110678,0,-764.9415055,-764.8483905,0,460.2658586,460.2622876,61.747004,0
ClC(Cl)=C(Cl)Cl,489,0,-1916.993692,-1917.010885,0,-1456.70932,-1456.728434,0,460.2843719,460.2824509,74.39947475,0
C=C(F)Cl,490,3,-637.4306212,-637.4225622,0,-177.1328565,-177.1267555,0,460.2977647,460.2958067,82.78023925,0
ClC1C=CC2(C=C1)OCCO2,491,0,-920.856109,-920.733873,0,-460.6147366,-460.4945216,0,460.2413724,460.2393514,47.3545385,0
Clc1ccc(Cl)o1,492,0,-1149.214658,-1149.194352,0,-688.872412,-688.853958,0,460.3422456,460.3403936,110.758519,0
CCCCl,493,3,-578.7526937,-578.6853677,0,-118.4659549,-118.4040009,0,460.2867388,460.2813668,73.719202,0
COS(=O)(=O)CCl,494,6,-1163.220271,-1163.172646,0,-702.9420002,-702.8975862,0,460.2782709,460.2750599,69.76162225,0
CN(C)CCCl,495,5,-673.3958808,-673.2870348,1,-213.1089361,-213.0045931,0,460.2869447,460.2824417,74.39370175,0
FC(F)(F)CCl,496,5,-837.1768083,-837.1629663,0,-376.8969817,-376.8880547,0,460.2798267,460.2749117,69.66862675,0
CC(C)(C)CCl,497,5,-657.3828241,-657.2623281,0,-197.0950506,-196.9799506,0,460.2877735,460.2823775,74.35341625,0
CN(CCCl)CCCl,498,4,-1172.320414,-1172.196214,0,-712.0352975,-711.9155915,1,460.2851163,460.2806223,73.25202825,0
C=CCCl,499,3,-577.5096847,-577.4657617,0,-117.2499936,-117.2087846,0,460.2596911,460.2569771,58.41466525,0
ClCN1CCCC1,500,0,-711.5151646,-711.3984246,0,-251.2350373,-251.1211353,0,460.2801273,460.2772893,71.16057075,0
CC1(CCl)COC1,501,3,-731.3482282,-731.2454262,0,-271.0630107,-270.9652157,0,460.2852175,460.2802105,72.99362375,0
ClCc1ncccn1,502,0,-763.2290231,-763.1650151,0,-302.9642272,-302.9022152,0,460.2647958,460.2627998,62.0684095,0
