B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
BC(F)(F)c1ccccc1,431,0,N#CP(C#N)C#N,143,2,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,479,3,0,0,-6.35550825,-2568.9118906431777,-5.63347110513845,RBH2,Phosphine,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,FC(F)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,613,4,0,0,-12.135599,-3713.134903248829,-12.224305498017603,R2BH,NHC,CCl3
BOC,393,0,CN(C)CC#N,67,1,ClC(Cl)N1CCCC1,539,0,0,0,-27.7993795,-1578.2281953673566,-27.001681668515747,RBH2,Amine/Aryl N,CCl2
CN1BN(C)CC1,436,2,c1ccc(-c2ccccc2P(c2ccccc2)c2ccccc2)cc1,122,10,ClCN1CCCC1,500,0,0,0,-16.1748165,-2271.318484184961,-10.924357003001516,R2BH,Phosphine,CCl
CBC,403,1,CN(C)CC#N,67,1,CN1CC(=O)C1Cl,526,6,0,0,-37.19085825,-1117.3852493814425,-35.597977963667326,R2BH,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,COC(C(Cl)(Cl)Cl)P(=O)(OC)OC,450,4,0,0,-4.62473775,-2857.314305213091,-4.755809570636721,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,ClC(Cl)c1ncncn1,463,0,0,0,-4.28362875,-1876.8353346054337,-6.663765146373879,R2BH,NHC,CCl2
B,388,0,CN(C)c1ccc(C#N)cc1,51,1,O=C(C(F)(F)F)C(Cl)(Cl)Cl,549,7,1,1,-64.02451525,-2353.982358864188,-64.48165752174836,BH3,Amine/Aryl N,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,CN(C)C(=O)C(Cl)(Cl)Cl,611,6,0,0,-8.296303,-2304.528919101277,-8.880475456637843,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,CON(C)C(=O)C(Cl)(Cl)Cl,612,7,0,0,-7.73952225,-2379.68580426845,-8.54813602053166,R2BH,NHC,CCl3
