component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00429_00325,BN_radical_complex_r,BN B-atom spin density,0.401206,0.401206,0.034,2,0.0,1.090599585920259,1.090599585920259
BN_00429_00328,BN_radical_complex_r,BN B-atom spin density,0.235096,0.483926,0.0368,7,0.0,2.8639654757768063,2.633217649651897
BN_00429_00329,BN_radical_complex_r,BN B-atom spin density,0.232858,0.493952,0.0443,1,0.0,1.0955315231285478,1.0955315231285478
BN_00429_00332,BN_radical_complex_r,BN B-atom spin density,0.229638,0.426296,0.0324999999999999,93,0.043010752688172046,3.2067381481849084,2.463049547778649
BN_00429_00335,BN_radical_complex_r,BN B-atom spin density,0.52632,0.52632,0.025,1,0.0,7.157232532252454,7.157232532252454
BN_00429_00336,BN_radical_complex_r,BN B-atom spin density,0.508513,0.508513,0.0235999999999999,1,0.0,0.38702302747701367,0.38702302747701367
BN_00429_00339,BN_radical_complex_r,BN B-atom spin density,0.453225,0.453225,0.0247,1,0.0,0.09527149257927903,0.09527149257927903
BN_00429_00344,BN_radical_complex_r,BN B-atom spin density,0.511932,0.511932,0.0208,1,0.0,0.7948987903796958,0.7948987903796958
BN_00429_00352_Naid_00007,BN_radical_complex_r,BN B-atom spin density,0.277827,0.418402,0.0318,1,0.0,4.808791954222066,4.808791954222066
BN_00429_00355_Naid_00009,BN_radical_complex_r,BN B-atom spin density,0.515772,0.515772,0.0234999999999999,1,0.0,4.893004843026798,4.893004843026798
BN_00429_00359_Naid_00002,BN_radical_complex_r,BN B-atom spin density,0.513728,0.513728,0.0195999999999999,1,0.0,1.2215753759067738,1.2215753759067738
BN_00429_00366,BN_radical_complex_r,BN B-atom spin density,0.091319,0.45117,0.0433999999999999,2,0.0,1.907148017532096,1.907148017532096
BN_00429_00367,BN_radical_complex_r,BN B-atom spin density,0.067785,0.505619,0.0568999999999999,1,0.0,5.9131580706987705,5.9131580706987705
BN_00429_00377,BN_radical_complex_r,BN B-atom spin density,0.06191,0.635642,0.0161,1,0.0,8.319831334570875,8.319831334570875
BN_00429_00385,BN_radical_complex_r,BN B-atom spin density,0.197232,0.384351,0.029,2,0.0,3.397224585443853,3.397224585443853
BN_00430_00006,BN_radical_complex_r,BN B-atom spin density,1.032386,1.032386,0.0031999999999999,1,0.0,2.9208712239074206,2.9208712239074206
BN_00430_00007,BN_radical_complex_r,BN B-atom spin density,1.038789,1.038789,0.0031999999999999,1,0.0,6.761667035340416,6.761667035340416
BN_00430_00008,BN_radical_complex_r,BN B-atom spin density,1.049658,1.049658,0.0031999999999999,1,0.0,5.352171658544492,5.352171658544492
BN_00430_00011,BN_radical_complex_r,BN B-atom spin density,1.038575,1.038575,0.0031999999999999,1,0.0,5.138235953391689,5.138235953391689
BN_00430_00027,BN_radical_complex_r,BN B-atom spin density,0.251247,0.613494,0.0057,3,0.3333333333333333,3.672853924849844,0.34932135029939104
BN_00430_00032,BN_radical_complex_r,BN B-atom spin density,0.988249,0.988249,0.0030999999999999,1,0.0,6.6049235586328585,6.6049235586328585
BN_00430_00045,BN_radical_complex_r,BN B-atom spin density,0.995828,0.995828,0.0032999999999999,1,0.0,2.0354730899206075,2.0354730899206075
BN_00430_00046,BN_radical_complex_r,BN B-atom spin density,0.122896,0.627091,0.0309,1,1.0,10.849208419241624,10.849208419241624
BN_00430_00051,BN_radical_complex_r,BN B-atom spin density,1.010838,1.010838,0.0033999999999999,1,0.0,2.0112025681708747,2.0112025681708747
BN_00430_00052,BN_radical_complex_r,BN B-atom spin density,1.033666,1.033666,0.0036,1,0.0,0.8055452150546003,0.8055452150546003
BN_00430_00055,BN_radical_complex_r,BN B-atom spin density,1.022477,1.022477,0.0030999999999999,1,0.0,4.438355557177536,4.438355557177536
BN_00430_00061,BN_radical_complex_r,BN B-atom spin density,1.00559,1.00559,0.0032999999999999,3,0.3333333333333333,7.568974184715533,6.518614500112454
BN_00430_00062,BN_radical_complex_r,BN B-atom spin density,0.930609,0.930609,0.004,3,0.0,2.9283338697881924,3.9143629140096756
BN_00430_00066,BN_radical_complex_r,BN B-atom spin density,1.005999,1.005999,0.0030999999999999,1,0.0,1.5334801458122147,1.5334801458122147
BN_00430_00067,BN_radical_complex_r,BN B-atom spin density,1.046461,1.046461,0.0032999999999999,3,0.0,5.183494439897386,4.5621609081881935
BN_00430_00070,BN_radical_complex_r,BN B-atom spin density,0.847593,0.847593,0.0029,1,0.0,2.228238937397501,2.228238937397501
BN_00430_00077,BN_radical_complex_r,BN B-atom spin density,0.87656,0.87656,0.0030999999999999,1,0.0,0.6306533752846448,0.6306533752846448
BN_00430_00079,BN_radical_complex_r,BN B-atom spin density,0.987119,0.987119,0.0036,1,0.0,2.031475088393954,2.031475088393954
BN_00430_00090,BN_radical_complex_r,BN B-atom spin density,0.855819,0.855819,0.0028,1,0.0,2.066342655632665,2.066342655632665
BN_00430_00102,BN_radical_complex_r,BN B-atom spin density,0.917171,0.917171,0.0034999999999999,1,0.0,0.7561316488819756,0.7561316488819756
BN_00430_00104,BN_radical_complex_r,BN B-atom spin density,0.939543,0.939543,0.0036,1,0.0,0.4687015830087695,0.4687015830087695
BN_00430_00107,BN_radical_complex_r,BN B-atom spin density,0.875356,0.875356,0.0034999999999999,1,0.0,4.908640520336716,4.908640520336716
BN_00430_00110,BN_radical_complex_r,BN B-atom spin density,0.883882,0.883882,0.0034999999999999,1,0.0,1.6556267151988369,1.6556267151988369
BN_00430_00111,BN_radical_complex_r,BN B-atom spin density,0.861424,0.861424,0.0030999999999999,1,0.0,4.074742112409945,4.074742112409945
BN_00430_00140,BN_radical_complex_r,BN B-atom spin density,0.863422,0.863422,0.0029,1,1.0,9.650542645919385,9.650542645919385
BN_00430_00141,BN_radical_complex_r,BN B-atom spin density,0.710478,0.710478,0.0023999999999999,1,0.0,2.3006725365880243,2.3006725365880243
BN_00430_00142,BN_radical_complex_r,BN B-atom spin density,0.957133,0.957133,0.0033999999999999,1,0.0,0.9733247100857945,0.9733247100857945
BN_00430_00143,BN_radical_complex_r,BN B-atom spin density,0.578414,0.578414,0.003,41,0.14634146341463414,4.21294382281324,2.5678193746081917
BN_00430_00145,BN_radical_complex_r,BN B-atom spin density,0.18353,0.529367,0.0058,1,0.0,3.4323545038256817,3.4323545038256817
BN_00430_00147,BN_radical_complex_r,BN B-atom spin density,0.614016,0.614016,0.0094999999999999,3,0.0,2.588623136276892,1.9067257534206838
BN_00430_00160,BN_radical_complex_r,BN B-atom spin density,0.29266,0.437876,0.01,3,0.0,4.364303259600962,4.765106679123871
BN_00430_00162,BN_radical_complex_r,BN B-atom spin density,0.608952,0.608952,0.0093999999999999,1,0.0,1.168693609829429,1.168693609829429
BN_00430_00170,BN_radical_complex_r,BN B-atom spin density,0.573944,0.573944,0.0031999999999999,1,0.0,0.23728480640381377,0.23728480640381377
BN_00430_00171,BN_radical_complex_r,BN B-atom spin density,0.446145,0.446145,0.0040999999999999,1,0.0,1.8618137258301175,1.8618137258301175
BN_00430_00176,BN_radical_complex_r,BN B-atom spin density,0.502052,0.502052,0.0027,1,0.0,4.451226919365201,4.451226919365201
BN_00430_00179,BN_radical_complex_r,BN B-atom spin density,0.468212,0.468212,0.0039,1,0.0,0.509522884785433,0.509522884785433
BN_00430_00180,BN_radical_complex_r,BN B-atom spin density,0.479769,0.479769,0.0276999999999999,1,0.0,1.2851273107576606,1.2851273107576606
BN_00430_00184,BN_radical_complex_r,BN B-atom spin density,-0.01726,0.282064,0.0326999999999999,2,0.0,3.4995631296226364,3.4995631296226364
BN_00430_00195,BN_radical_complex_r,BN B-atom spin density,0.238664,0.517512,0.0033999999999999,2,0.0,0.3985562707110937,0.3985562707110937
BN_00430_00196,BN_radical_complex_r,BN B-atom spin density,0.395277,0.395277,0.0048,1,0.0,0.47628305344106536,0.47628305344106536
BN_00430_00202,BN_radical_complex_r,BN B-atom spin density,0.539165,0.539165,0.0168,1,0.0,2.1455138500711897,2.1455138500711897
BN_00430_00220,BN_radical_complex_r,BN B-atom spin density,0.402485,0.402485,0.0036,2,0.0,1.445063325282515,1.445063325282515
BN_00430_00233,BN_radical_complex_r,BN B-atom spin density,0.558206,0.558206,0.0211,1,0.0,1.7614135920199487,1.7614135920199487
BN_00430_00237,BN_radical_complex_r,BN B-atom spin density,0.318481,0.458491,0.0439,2,0.0,2.2342022627318663,2.2342022627318663
BN_00430_00240,BN_radical_complex_r,BN B-atom spin density,0.370336,0.383907,0.044,1,0.0,4.116922565369773,4.116922565369773
BN_00430_00242,BN_radical_complex_r,BN B-atom spin density,0.359149,0.431253,0.0451,1,0.0,2.1580115398522466,2.1580115398522466
BN_00430_00243,BN_radical_complex_r,BN B-atom spin density,0.220045,0.448576,0.0464999999999999,4,0.0,5.014748784523784,4.691680309416137
BN_00430_00245,BN_radical_complex_r,BN B-atom spin density,0.165879,0.373064,0.0321,1,1.0,20.18586415750736,20.18586415750736
BN_00430_00248,BN_radical_complex_r,BN B-atom spin density,0.30942,0.430565,0.0454999999999999,1,0.0,0.6502586921419784,0.6502586921419784
BN_00430_00249,BN_radical_complex_r,BN B-atom spin density,0.295943,0.434063,0.0436999999999999,1,0.0,0.5138399781760441,0.5138399781760441
